id,provider_name,provider_url,category,free_tier_model_count_estimate,free_tier_details,credit_card_required,no_credit_card_free_access,free_models_examples,free_tier_limits,api_access_available,web_ui_access,access_type,research_notes,research_date,source_urls
12,Modal,https://modal.com,API Aggregator / Gateway,,Research institution / company. Modal provides AI models and/or tools. Check official website for current free tier offerings and pricing.,Yes,No,"Any model in Modal Functions: Llama 3.x, Mistral, DeepSeek, Qwen, Gemma, SDXL, Flux, Whisper, custom Python/ML models","Free tier: trial credits, pay-per-second serverless GPU. No CC for basic. Generous free tier for Python functions.",Likely,Likely,API + Web,,2026-09-08,https://tessl.io/registry/skills/github/wanshuiyin/Auto-claude-code-research-in-sleep/serverless-modal; https://tessl.io/registry/skills/github/OpenLAIR/dr-claw/aris-serverless-modal
13,RunPod,https://runpod.io,API Aggregator / Gateway,,Research institution / company. RunPod provides AI models and/or tools. Check official website for current free tier offerings and pricing.,No,Yes,"Any model on RunPod GPU pods: Llama 3.x, Mixtral, DeepSeek, Qwen, Gemma, Mistral, SDXL, Flux, Whisper, custom containers","Free tier: trial credits ($10-50), pay-per-second GPU cloud ($0.20-4/hr). No CC for basic account.",Likely,Likely,API + Web,,2026-09-08,https://yangmao.ai/en/providers/runpod/no-credit-card; https://docs.runpod.io/accounts-billing/billing
14,Baseten,https://baseten.co,API Aggregator / Gateway,,"### Do you offer free credits to get started? ... Yes, new Baseten accounts come with credits so you can get to know the UI and experiment with deployments for free.",Yes,No,"opt, Qwen, DeepSeek","Free tier: trial credits, pay-per-second GPU. No CC for basic. Deploy any model.",Likely,Likely,API + Web,,2026-09-08,https://www.baseten.co/pricing/; https://docs.baseten.co/organization/billing
15,Sambanova,https://sambanova.ai,API Aggregator / Gateway,,"Logo Logo Logo Logo Dashboard Playground API Keys AI Starter Kits Plans Pricing Billing Usage Commits and Credits Login/Signup Plan and Billing Free Start exploring SambaNova Cloud. Add a payment method and purchase credits to run your first requests. Includes Pay-as-you-go credits Access to Product Llama 3.1 405B: Up to 200 tokens/second Llama 3.1 70B: Up to 580 tokens/second Llama 3.1 8B: Optimal performance for rapid deployment ### Immediate Access Forget waiting for ""coming soon"" services. S",No,Yes,"Opt, Llama 3",Free tier: trial credits for Sambanova Cloud. No CC for basic. Pay-per-token inference.,Likely,Likely,API + Web,,2026-09-08,https://fast-snova-ai-prod-1-ui.cloud.snova.ai/plans; https://www.usagepricing.com/blueprint/activity/sambanova-2026-08-14-free-credit-grant-dropped
16,Lepton AI,https://lepton.ai,API Aggregator / Gateway,,Program at a Glance Program at a Glance Provider Lepton AI (NVIDIA DGX Cloud Lepton) Credit Amount $0/month plan + 1 GB storage + 10 GB egress Duration Ongoing (Basic plan stays free while offered) Eligibility Anyone who creates a Basic Plan account Credit Card Required? No upfront payment; usage-ba,No,Yes,"Llama, Mistral, DeepSeek, Qwen, Gemma, Phi, Mixtral, and community models","Free tier: trial credits, serverless deployment. No CC for basic account.",Likely,Likely,API + Web,,2026-09-08,https://aicreditmart.com/ai-credits-providers/lepton-ai-free-plan-dgx-cloud-access-guide-2026; https://yangmao.ai/en/providers/lepton/no-credit-card
17,Bittensor,https://bittensor.com,API Aggregator / Gateway,,"free 10 req/min per IP, no signup, full data, signed pay-per-call 0.01 USDC x402 on Base, live; retry over the free rate with an X-PAYMENT header Pro 99 USDC/30d signed owner-exit webhooks, bulk CSV export, full history · buy a pass → KEYAuthorization: Bearer anonymous tier Paste an API key to lift",No,Yes," subnet miners running diverse models: Llama, Mistral, Mixtral, custom models via Bittensor subnets","Free tier: open network, free access to subnet inference. No CC. Some subnets may have fees.",Likely,Likely,API + Web,,2026-09-08,https://dtaoscan.io/api; https://oanor.com/api/bittensor-api
18,Nscale,https://nscale.com,API Aggregator / Gateway,,Nscale Free API Key 2026 | No Credit Card Required Nscale offers a generous free tier with no credit card required. Check the provider's website for current terms and conditions regarding free tier availability and duration.,No,Yes,opt,"Free tier: trial credits, pay-per-second GPU. No CC for basic. GPU cloud instances.",Likely,Likely,API + Web,,2026-09-08,https://free-llm.com/api/nscale; https://free-llm.com/provider/nscale
19,Fal.ai,https://fal.ai,API Aggregator / Gateway,,"Is the Wan video generator free? Yes. Signed-in fal.ai accounts get 5 free Wan 3 text-to-video generations every 24 hours in the fal sandbox. Each one is a 720p clip with sound generated in the same pass as the picture, straight from a text prompt, and the allowance refills on a rolling 24-hour wind Section: > Fal.ai Free Credits 2026: $20 Free for Image and Video Generation Does Fal.ai have a free tier? Yes, Fal.ai gives $20 in free credits when you sign up with a business email. Enough for 400",No,Yes,mpt,Free tier: trial credits for image/video generation. No CC. Pay-per-generation.,Likely,Likely,API + Web,,2026-09-08,https://aicreditmart.com/ai-credits-providers/replicate-free-credits-how-to-get-free-generations-2026-guide; https://replicate.com/collections/try-for-free
20,Hyperbolic,https://hyperbolic.com,API Aggregator / Gateway,,Buckle up! 💨 We're deploying your GPUs... Deploying GPUs... 1/0 Rent H100 at $1.49/hr Run GPUs up to 75% cheaper than legacy clouds. RTX 4090 $0.35/hr H100 SXM $1.49/hr H200 $2.15/hr 2/0 Deploy in 60s,No,Yes,"Llama 3.x, Mixtral, DeepSeek, Qwen, Gemma, Mistral, Phi, and all open models","Free tier: trial credits, open marketplace for GPU inference. No CC for basic access.",Likely,Likely,API + Web,,2026-09-08,https://hyperbolic.ai/; https://yangmao.ai/en/providers/hyperbolic/no-credit-card
21,Mancer,https://mancer.dev,API Aggregator / Gateway,,"Users can select from a range of available models (free or paid), load prompts directly, and execute tasks without delay or censorship. It�s a self-serve tool for experienced users who value control, performance, and transparency over polish. It�s not for the faint of heart�but if you're serious abo This is a large language model inferencing service. We run LLMs on high-end machines, and let you run whatever prompts you want against them. Sign up to use a pretty good LLM as much as you want, for",No,Yes,"opt, mpt",Free tier: free API access for uncensored models. No CC. Focus on open/uncensored models.,Likely,Likely,API + Web,,2026-09-08,https://www.bittensor.com/docs; https://bittensor.ai/docs
22,Featherless AI,https://featherless.ai,API Aggregator / Gateway,,Research institution / company. Featherless AI provides AI models and/or tools. Check official website for current free tier offerings and pricing.,Yes,No,"Open-source models: Llama, Mistral, Mixtral, Qwen, Gemma, DeepSeek, Phi, Falcon, CodeLlama, and community models","Free tier: free API access for open models, no CC. Focus on uncensored/open models.",Likely,Likely,API + Web,,2026-09-08,https://featherless.ai/docs/plans; https://creati.ai/ai-tools/featherless-llm
23,LitServe,https://litserve.ai,API Aggregator / Gateway,,"LitServe home
Install
Quick start
Speed up serving by 200x
Benchmarks
Advantages
Migrate from FastAPI to LitServe
FAQ
Examples
Features
API reference
Community
How to Ask AI
LitServe
LitServe home Easily serve AI models Lightning fast open source pip install litserve Flexible, high-throughput serving engine for AI models. LitServe is a flexible serving engine for AI models built on FastAPI. Featur",No,Yes,"Any custom model you deploy: Llama, Mistral, DeepSeek, Qwen, Gemma, Phi, Mixtral, custom PyTorch/TF models","Free tier: open-source serving framework, free to self-host. No CC. Managed cloud may have paid tiers.",Likely,Likely,API + Web,,2026-09-08,https://lightning.ai/docs/litserve
24,InfraEngineering / Inference Network,https://inference.network,API Aggregator / Gateway,,"Fal.ai is a serverless inference platform giving developers API access to 1,000+ image, video, and audio AI models. Built by ex-Coinbase engineers, it runs FLUX models up to 4x faster than standard implementations via custom CUDA kernels, starting at $0.003 per image. Fal.ai (styled as “fal”) is a serverless AI inference platform built by ex-Coinbase and Amazon engineers, co-founded by Burkay Gur.",No,Yes,"Bittensor subnet models: diverse LLMs, custom models via decentralized network","Free tier: open network access, no CC. Some inference may have token fees.",Likely,Likely,API + Web,,2026-09-08,https://vantaige.io/ai-tool/fal-ai; https://getaiperks.com/en/ai/fal-ai-free-credits-2026
25,Z.ai,https://z.ai,API Aggregator / Gateway,,"100+ providers, one OpenAI API Virtual keys, users & teams Spend tracking Budgets + rate limits LLM fallbacks Request/response logging Prometheus metrics No credit card · Self-host in minutes. Start free Enterprise Talk to sales Annual · sized to your usage For teams running LiteLLM in production —",No,Yes,"GLM-4, GLM-4-Flash, GLM-4-Plus, GLM-4-Air, Z.ai proprietary models",Free tier: limited free API calls available. No CC for basic access.,Likely,Likely,API + Web,,2026-09-08,https://www.litellm.ai/pricing; https://github.com/tomaasz/litellm-free-models-proxy/tree/main
26,Portkey,https://portkey.ai,API Aggregator / Gateway,,"Portkey is an AI gateway and LLM operations platform that sits between applications and model providers. It provides a unified API for routing requests, managing keys, applying retries and fallbacks, and collecting observability data such as logs, traces, feedback, metadata, and filters. The free pl",No,Yes,"Routes to 100+ models across providers: GPT-4, Claude, Llama, Gemini, Mistral, DeepSeek, etc.","Free tier: gateway access with rate limiting, no CC required for basic. Paid for advanced features.",Likely,Likely,API + Web,,2026-09-08,https://freetier.co/directory/products/portkey; https://www.truefoundry.com/blog/portkey-pricing-guide
27,LiteLLM,https://litellm.ai,API Aggregator / Gateway,,Research institution / company. LiteLLM provides AI models and/or tools. Check official website for current free tier offerings and pricing.,Yes,No,"Proxy to 100+ models: GPT-4, Claude 3.5 Sonnet, Gemini 1.5 Pro, Llama, Mistral, DeepSeek, Mixtral, custom models","Free tier: open-source LiteLLM proxy free (self-hosted), no CC. LiteLLM Cloud paid tiers.",Likely,Likely,API + Web,,2026-09-08,https://docs.litellm.ai/docs/providers/litellm_proxy; https://docs.litellm.ai/docs/proxy/model_discovery; https://github.com/natorus87/litellm-free-models
28,TensorZero,https://tensorzero.io,API Aggregator / Gateway,,"100+ providers, one OpenAI API Virtual keys, users & teams Spend tracking Budgets + rate limits LLM fallbacks Request/response logging Prometheus metrics No credit card · Self-host in minutes. Start free Enterprise Talk to sales Annual · sized to your usage For teams running LiteLLM in production — from a first rollout to enterprise-wide, high-volume, and regulated deployments. Everything in Open",No,Yes,"Routes to GPT-4, Claude, Llama, Gemini, Mistral, DeepSeek, and custom models via playground","Free tier: playground access, no CC required. Paid tiers for production.",Likely,Likely,API + Web,,2026-09-08,https://www.litellm.ai/pricing; https://112.cachefly.net/topics/free-llm
29,Helicone,https://helicone.ai,API Aggregator / Gateway,,"Pricing summary Helicone 2026 — Pricing overview Per-organization subscriptions with usage-based overage on logs and storage. Free to self-host (Apache 2.0). Hobby Free Solo developers kickstarting an AI project Pro $79 /mo Growing teams shipping to production Team $799 /mo Scaling companies needing 0) LLM observability platform and AI gateway — a proxy layer that sits between your app and model providers, logging every request with cost, latency, and token usage [3][4]. Who it’s for: AI enginee",No,Yes,opt,Free tier: AI gateway with free tier. No CC for basic. Paid for higher throughput.,Likely,Likely,API + Web,,2026-09-08,https://aipedia.wiki/tools/helicone; https://truefoundry.com/blog/helicone-pricing
30,Kong AI Gateway,https://konghq.com,API Aggregator / Gateway,,| ## AI Gateway | | | | | AI Gateway Free Plugins | | | | | AI Gateway Paid Plugins AI Gateway enterprise plugins include: AI AWS Guardrails AI Azure Content Safety AI Prompt Compressor AI Proxy Advanced AI RAG Injector AI Rate Limiting Advanced AI Sanitizer AI Semantic Cache AI Semantic Prompt Guar,No,Yes,"Gateway routing to any LLM: GPT-4, Claude, Gemini, Llama, Mistral, DeepSeek, custom models","Free tier: Kong Gateway open-source is free, no CC required. Enterprise features paid.",Likely,Likely,API + Web,,2026-09-08,https://konghq.com/pricing; https://konghq.com/blog/product-releases/announcing-kong-ai-gateway
31,OpenAI,https://openai.com,Frontier Provider,,"OpenAI provides limited free access to some of its models, primarily through trial credits or specific platforms, but full-scale usage typically requires payment. Developers can experiment with models like GPT-3.5 via the OpenAI API using an initial credit (e.g., $5 or $18 for new users), which allows a set number of API calls before incurring charges. Additionally, ChatGPT’s free web version lets Is the OpenRouter API free? It has a free-models tier — dozens of models at no token cost, with mod",No,Yes,"GPT-3.5, 5, 1, 8, 4, 0, 2, 3, 6",rate limits and no card Free tier” is if you were granted API credits through a promotion or trial,Yes,Yes,Both,,2026-09-08,https://milvus.io/ai-quick-reference/does-openai-provide-free-access-to-their-models; https://freeapihub.com/apis/openrouter-api; http://community.openai.com/t/api-access-using-free-tier/710656
32,Anthropic,https://anthropic.com,Frontier Provider,,"The short version: Anthropic does not offer a permanent free API tier the way Google does with Gemini. But there are three legitimate paths to free Claude access depending on who you are and what you’re building. Understanding which one applies to you is the whole point of this post. The Three Free Paths Pick the Right One First Path 1 The free trial credits (~$5, no credit card): Create a new acc (Pro, Max, Team) Console pay-per-token What you pay for A flat monthly fee covering a usage allowan",No,Yes,"1, 5, 2, 0, 4, 6",Free tier: limited Claude.ai chat usage (free plan). Claude API: paid per token. No CC for Claude.ai free chat. API requires payment method.,Yes,Yes,Both,,2026-09-08,https://kathanpatel.vercel.app/blog/free-claude-api-access-anthropic-console-free-tier-guide; https://datacamp.com/tutorial/how-to-use-claude-code-for-free; https://apidog.com/blog/how-to-use-claude-for-free
33,Google DeepMind / Gemini,https://deepmind.google,Frontier Provider,,"Gemini API Free Tier 2026: 1,500 Req/Day, 1M TPM — No Card Google Gemini free tier 2026: 1,500 req/day, 1M tokens/min, Flash + Flash-Lite. No credit card, no expiration. Most generous free AI API — exact limits. Gemini API Free Tier 2026: Limits, Quotas, and More Gemini API Free Tier (April 2026): Every Rate Limit, Quota, and Gotcha Google gives away more free LLM compute than any other major provider. No credit card. No expiration. Access to their best models. This page is the Gemini-specific d",No,Yes,"2, 0, 6, 1, 5","Rate Limit, Quota, and Gotcha Google gives away more free LLM compute than any other major provider Free Tier 2026: 1,500 Req/Day, 1M TPM — No Card Google Gemini free tier 2026: 1,500 req/day, 1M tokens/min, F Free Tier 2026: Limits, Quotas, and More Gemini API Free Tier (April 2026): Every Rate Lim",Yes,Yes,Both,,2026-09-08,https://tokenmix.ai/blog/gemini-api-free-tier-limits; https://pecollective.com/tools/gemini-free-tier-guide; https://costbench.com/software/llm-api-providers/google-gemini-api/free-plan
34,Microsoft Azure OpenAI,https://azure.microsoft.com,Frontier Provider,,"Azure OpenAI Free Tier Azure offers $200 in free credits for new accounts that can be used for Azure OpenAI Service. Requires an Azure subscription. Free Tier Details Azure Free Credits$200 for new accounts (30 days) Free Tier AfterSelect services free for 12 months Models AvailableGPT-4o, GPT-4, o1, DALL-E, Whisper Credit Card RequiredYes (Azure account required) Azure OpenAI requires a separate $200 Trial Credit gives 30-day access to any Azure service. Azure’s unique advantage: Cosmos DB’s al",No,Yes,"2, 0, 3, 1, GPT-4, 5, 6",Rate limits Tier 1 (lower limits) Credit card required No (for the free credits) How to Claim Free Credits Free Tier Azure offers $200 in free credits for new accounts that can be used for Azure OpenAI Service Free Tier Details Azure Free Credits$200 for new accounts (30 days) Free Tier AfterSelect ,Yes,Yes,Both,,2026-09-08,https://pricepertoken.com/endpoints/azure/free; https://agentdeals.dev/azure-free-tier-2026; https://hypereal.cloud/en/a/openai-api-key-free-2
35,Amazon Bedrock,https://aws.amazon.com/bedrock,Frontier Provider,,"On Demand and Batch Latency Optimized (Public Preview) Provisioned Throughput Custom Model Import Marketplace models Customization and optimization Model Customization Prompt Caching Prompt Management and Optimization Tools Guardrails Knowledge Bases and Data Automation Agents Flows Evaluations Model pricing details Pricing is dependent on the modality, provider, and model. Please select the model Earning additional credits If you are a new AWS customer, you can earn an additional USD $100 in cr",No,Yes,"1, 0, 2, 6",Free tier: 50+ models with free tier (some have free tier for first 1-3 months). No CC for AWS free tier account ($100 credit for 12 months).,Yes,Yes,Both,,2026-09-08,https://techjacksolutions.com/ai-tools/aws/how-to-use-amazon-bedrock; https://yangmao.ai/en/providers/amazon-bedrock/no-credit-card
36,IBM watsonx,https://ibm.com/watsonx,Frontier Provider,,"Supported foundation models in watsonx.ai Last updated: Aug 06, 2026 Supported foundation models in watsonx.ai You can work with third-party and IBM foundation models in IBM watsonx.ai.You can use foundation models that are provided by IBM and are ready to use immediately, or deploy foundation models on-demand to use exclusively for your organization. see: You can work with the following types of The page states plan pricing per resource unit but does not publish request-rate limits for the tria",Yes,No,"0, 6, 2, v1, 7, 5, 1","rate limits for the trial, so the console is authoritative for the trial’s ceilings Rate limits 2 inference requests per second (explicitly documented for the Lite plan) The catch Lite plan does",Yes,Yes,Both,,2026-09-08,https://aicreditmart.com/ai-credits-providers/ibm-watsonx-ai-free-tier-lite-plan-guide-2026/; https://dataplatform.cloud.ibm.com/docs/content/wsj/getting-started/signup-wx.html?audience=wdp?context%3Ddph?context%3Ddph?context%3Ddph?context%3Ddph?context%3Ddph?context%3Danalytics?context%3Ddph?context%3Ddph?context%3Ddph?context%3Ddph?context%3Ddph?context%3Ddph?context%3Ddph?context%3Ddph?context%
37,Cohere,https://cohere.com,Frontier Provider,,New: give your AI agents live LLM pricing & benchmarks with the Price Per Token MCP. Get the MCP Price Per Token Price Per Token Pricing Rankings Tools Explore Benchmarks Discussion Newsletter Advertise | Follow: Cohere Cohere Free Tier The Grid | Spot Priced LLM API The Grid | Spot Priced LLM API Sponsored Change 3 lines of code and let providers compete for your requests in real time. Get starte PE Collective ✕ AI Jobs Salaries Tools Blog Market Intel About Join Community Cohere API Pricing: E,No,Yes,"3, 2, 0, 6, Command, 1, Command R, Command R+, v4, 5","('20 RPM', 'RPM') Rate Limits & Config — free rate limit of 20 RPM Rate Limits & Config — free Free Tier The Grid | Spot Priced LLM API The Grid | Spot Priced LLM API Sponsored Change 3 lines of code and free tier supports up to 1,000 API calls/month across all models, with a rate limit of 20 RPM",Yes,Yes,Both,,2026-09-08,http://pricepertoken.com/endpoints/cohere/free; https://pecollective.com/tools/cohere-pricing/; https://www.free-model.com/providers/cohere
38,AI21 Labs,https://ai21.com,Frontier Provider,,"What’s free $10 trial credit, valid 3 months Rate limits Jamba Large/Mini: 10 RPS / 200 RPM by default The catch Card not required for the trial credit itself, required once it expires Quickstart — chat completions from openai import OpenAI client = OpenAI(base_url=""https://api.ai21.com/studio/v1"", api_key=""<YOUR_FREE_API_KEY>"") resp = client.chat.completions.create( model=""<a-free-model>"", messa prominently the Jamba family of hybrid SSM-Transformer models and Maestro, an AI planning and orches",No,Yes,"1, 0, 3, 2, v1, 6, 8, 5, 4","('200 RPM', 'RPM') Rate limits Jamba Large/Mini: 10 RPS / 200 RPM by default The catch Card not required for the trial credit its",Yes,Yes,Both,,2026-09-08,https://freellmapihub.com/p/ai21; https://usagepricing.com/blueprint/ai21-labs; https://e8.team/resources/ai21-studio-free-trial
39,Writer,https://writer.com,Frontier Provider,,"What’s less clear is where the value actually kicks in, what you give up at each level, and whether the price tag holds up against what users report in practice. This is a full pricing breakdown. Every plan, every limit, every feature gate. The short version: two tiers with a wide gap between them W",No,Yes,"6, 5, 4, 1, 8, 2, 0, 3, 9",Free tier: Writer Pal free plan with limited AI generations. No CC for free tier. Enterprise paid.,Yes,Yes,Both,,2026-09-08,https://eesel.ai/blog/writer-com-pricing; https://saaspartout.com/marketplace/writer
40,xAI (Grok),https://x.ai,Frontier Provider,,"Fact-checked by Grok 4 months ago xAI API The xAI API is a separate paid developer service provided by xAI that enables programmatic integration of its Grok family of AI models into applications on a pay-per-token basis—no mandatory monthly subscription required. Access requires creating an xAI account at https://console.x.ai/ (no credit card required initially), obtaining an API key, and adding p Grok API access guide: keys, pricing, and what happened to the free tier Updated 2026-07-16 Grok AP",No,Yes,"Grok 4, 2, 0, 6, 7, 1, v1, 5, 3, grok-4",free tier Updated 2026-07-16 Grok API access runs through console free tier â by default itâs pay-as-you-go per token,Yes,Yes,Both,,2026-09-08,https://grokipedia.com/page/xAI_API; https://apisrouter.com/grok-api-guide; https://apisrouter.com/free-grok-api
